example_id,type,list_length,correct_answer,raw_response,predicted_answer,correct,model
29,professions,9,2,"1, 2,",1,False,meta-llama/Llama-3.2-1b-Instruct
30,animals,12,8,"7)
Type: fruits",7,False,meta-llama/Llama-3.2-1b-Instruct
31,cities,6,4,"5)
Type: countries",5,False,meta-llama/Llama-3.2-1b-Instruct
32,sports,14,0,"7)
Type: animals",7,False,meta-llama/Llama-3.2-1b-Instruct
33,fruits,15,1,"6)
Type: animals",6,False,meta-llama/Llama-3.2-1b-Instruct
34,sports,8,0,"7)
Type: animals",7,False,meta-llama/Llama-3.2-1b-Instruct
35,cities,6,3,"3)
Type: countries",3,True,meta-llama/Llama-3.2-1b-Instruct
36,fruits,15,3,"7)
Type: animals",7,False,meta-llama/Llama-3.2-1b-Instruct
37,cities,5,0,"5)
Type: countries",5,False,meta-llama/Llama-3.2-1b-Instruct
38,animals,7,5,"6)
Type: fruits",6,False,meta-llama/Llama-3.2-1b-Instruct
39,cities,10,4,"5)
Type: countries",5,False,meta-llama/Llama-3.2-1b-Instruct
40,sports,12,9,"7)
Type: animals",7,False,meta-llama/Llama-3.2-1b-Instruct
41,cities,14,8,"7)
Type: countries",7,False,meta-llama/Llama-3.2-1b-Instruct
42,cities,5,4,"5)
Type: countries",5,False,meta-llama/Llama-3.2-1b-Instruct
43,cities,8,5,"5)
Type: countries",5,True,meta-llama/Llama-3.2-1b-Instruct
44,professions,9,2,5) (1),5,False,meta-llama/Llama-3.2-1b-Instruct
45,professions,11,4,"1, 2,",1,False,meta-llama/Llama-3.2-1b-Instruct
46,sports,11,6,"7)
Type: animals",7,False,meta-llama/Llama-3.2-1b-Instruct
47,cities,10,2,"5)
Type: countries",5,False,meta-llama/Llama-3.2-1b-Instruct
48,fruits,7,3,"5)
Type: animals",5,False,meta-llama/Llama-3.2-1b-Instruct
49,professions,6,0,5) (1),5,False,meta-llama/Llama-3.2-1b-Instruct
0,sports,11,4,"1)
Type:",1,False,openai-community/gpt2-large
1,animals,15,2,"rabbit)
Type",-1,False,openai-community/gpt2-large
2,cities,7,7,"Mumbai)
Type",-1,False,openai-community/gpt2-large
3,animals,15,1,"1)
Type:",1,True,openai-community/gpt2-large
4,fruits,6,5,"watermelon)
Type",-1,False,openai-community/gpt2-large
5,professions,13,6,"1)
Type:",1,False,openai-community/gpt2-large
6,cities,6,2,Sydney),-1,False,openai-community/gpt2-large
7,professions,11,3,"1)
Type:",1,False,openai-community/gpt2-large
8,professions,15,6,"1)
Type:",1,False,openai-community/gpt2-large
9,cities,12,2,"1)
Type:",1,False,openai-community/gpt2-large
10,animals,12,6,"1)
Type:",1,False,openai-community/gpt2-large
11,animals,6,2,"nurse)
Type",-1,False,openai-community/gpt2-large
12,animals,7,3,"1)
Type:",1,False,openai-community/gpt2-large
13,cities,12,0,"1)
Type:",1,False,openai-community/gpt2-large
14,professions,7,5,"1)
Type:",1,False,openai-community/gpt2-large
15,animals,10,5,"1)
Type:",1,False,openai-community/gpt2-large
16,cities,9,2,"Cairo)
Type",-1,False,openai-community/gpt2-large
17,fruits,10,9,"1)
Type:",1,False,openai-community/gpt2-large
18,animals,12,4,"1)
Type:",1,False,openai-community/gpt2-large
19,sports,15,0,"1)
Type:",1,False,openai-community/gpt2-large
20,sports,13,8,"baseball)
Type",-1,False,openai-community/gpt2-large
21,sports,10,7,"1)
Type:",1,False,openai-community/gpt2-large
22,fruits,6,4,"mango)
Type",-1,False,openai-community/gpt2-large
23,fruits,7,4,"1)
Type:",1,False,openai-community/gpt2-large
24,fruits,10,6,"1)
Type:",1,False,openai-community/gpt2-large
25,professions,5,1,"1)
Type:",1,True,openai-community/gpt2-large
26,professions,11,2,nurse mechanic),-1,False,openai-community/gpt2-large
27,cities,5,3,"London)
Type:",-1,False,openai-community/gpt2-large
28,fruits,7,3,"1)
Type:",1,False,openai-community/gpt2-large
29,professions,9,2,"1)
Type:",1,False,openai-community/gpt2-large
30,animals,12,8,"eagle)
Type",-1,False,openai-community/gpt2-large
31,cities,6,4,"London)
Type:",-1,False,openai-community/gpt2-large
32,sports,14,0,"1)
Type:",1,False,openai-community/gpt2-large
33,fruits,15,1,"doctor)
Type:",-1,False,openai-community/gpt2-large
34,sports,8,0,"1)
Type:",1,False,openai-community/gpt2-large
35,cities,6,3,"Cairo)
Type",-1,False,openai-community/gpt2-large
36,fruits,15,3,"10)
Type:",10,False,openai-community/gpt2-large
37,cities,5,0,"1)
Type:",1,False,openai-community/gpt2-large
38,animals,7,5,baseball horse),-1,False,openai-community/gpt2-large
39,cities,10,4,"1)
Type:",1,False,openai-community/gpt2-large
40,sports,12,9,"1)
Type:",1,False,openai-community/gpt2-large
41,cities,14,8,"Cairo)
Type",-1,False,openai-community/gpt2-large
42,cities,5,4,"Mumbai)
Type",-1,False,openai-community/gpt2-large
43,cities,8,5,"1)
Type:",1,False,openai-community/gpt2-large
44,professions,9,2,"nurse)
Type",-1,False,openai-community/gpt2-large
45,professions,11,4,"1)
Type:",1,False,openai-community/gpt2-large
46,sports,11,6,"1)
Type:",1,False,openai-community/gpt2-large
47,cities,10,2,"1)
Type:",1,False,openai-community/gpt2-large
48,fruits,7,3,"1)
Type:",1,False,openai-community/gpt2-large
49,professions,6,0,"chair)
Type:",-1,False,openai-community/gpt2-large
